,spot_ID,Column,CellType,coord_x,coord_y
embryo1_Pos0_cell100_z2,ST_188,ST_188,Erythroid,1629.043682330895,1346.9834267196966
embryo1_Pos0_cell101_z2,ST_1252,ST_1252,Erythroid,1564.567981702001,1466.2529729496446
embryo1_Pos0_cell105_z2,ST_227,ST_227,Erythroid,1625.0139510415893,1351.4008173208058
embryo1_Pos0_cell107_z2,ST_227,ST_227,Erythroid,1625.0139510415893,1351.4008173208058
embryo1_Pos0_cell113_z2,ST_188,ST_188,Erythroid,1629.043682330895,1346.9834267196966
embryo1_Pos0_cell114_z2,ST_1091,ST_1091,Erythroid,1560.5382504126949,1448.583410545208
embryo1_Pos0_cell119_z2,ST_1494,ST_1494,Erythroid,1572.6274442806125,1492.7573165563
embryo1_Pos0_cell121_z2,ST_188,ST_188,Erythroid,1629.043682330895,1346.9834267196966
embryo1_Pos0_cell129_z2,ST_906,ST_906,Erythroid,1620.9842197522833,1426.496457539662
embryo1_Pos0_cell130_z2,ST_1170,ST_1170,Erythroid,1556.5085191233889,1457.4181917474264
embryo1_Pos0_cell131_z2,ST_228,ST_228,Erythroid,1629.043682330895,1351.4008173208058
embryo1_Pos0_cell133_z2,ST_106,ST_106,Erythroid,1620.9842197522833,1338.1486455174784
embryo1_Pos0_cell139_z2,ST_228,ST_228,Erythroid,1629.043682330895,1351.4008173208058
embryo1_Pos0_cell140_z2,ST_188,ST_188,Erythroid,1629.043682330895,1346.9834267196966
embryo1_Pos0_cell149_z2,ST_188,ST_188,Erythroid,1629.043682330895,1346.9834267196966
embryo1_Pos0_cell151_z2,ST_503,ST_503,Erythroid,1608.8950258843656,1382.32255152857
embryo1_Pos0_cell160_z2,ST_227,ST_227,Erythroid,1625.0139510415893,1351.4008173208058
embryo1_Pos0_cell163_z2,ST_188,ST_188,Erythroid,1629.043682330895,1346.9834267196966
embryo1_Pos0_cell166_z2,ST_228,ST_228,Erythroid,1629.043682330895,1351.4008173208058
embryo1_Pos0_cell167_z2,ST_228,ST_228,Erythroid,1629.043682330895,1351.4008173208058
embryo1_Pos0_cell17_z2,ST_106,ST_106,Erythroid,1620.9842197522833,1338.1486455174784
embryo1_Pos0_cell175_z2,ST_188,ST_188,Erythroid,1629.043682330895,1346.9834267196966
embryo1_Pos0_cell176_z2,ST_928,ST_928,Erythroid,1548.4490565447772,1430.9138481407713
embryo1_Pos0_cell178_z2,ST_1735,ST_1735,Erythroid,1576.6571755699183,1519.261660162955
embryo1_Pos0_cell182_z2,ST_848,ST_848,Erythroid,1548.4490565447772,1422.0790669385528
embryo1_Pos0_cell189_z2,ST_1666,ST_1666,Erythroid,1620.9842197522833,1510.4268789607363
embryo1_Pos0_cell190_z2,ST_227,ST_227,Erythroid,1625.0139510415893,1351.4008173208058
embryo1_Pos0_cell191_z2,ST_269,ST_269,Erythroid,1633.073413620201,1355.818207921915
embryo1_Pos0_cell195_z2,ST_228,ST_228,Erythroid,1629.043682330895,1351.4008173208058
embryo1_Pos0_cell206_z2,ST_269,ST_269,Erythroid,1633.073413620201,1355.818207921915
embryo1_Pos0_cell212_z2,ST_228,ST_228,Erythroid,1629.043682330895,1351.4008173208058
embryo1_Pos0_cell217_z2,ST_269,ST_269,Erythroid,1633.073413620201,1355.818207921915
embryo1_Pos0_cell221_z2,ST_189,ST_189,Erythroid,1633.073413620201,1346.9834267196966
embryo1_Pos0_cell234_z2,ST_312,ST_312,Erythroid,1645.1626074881187,1360.2355985230242
embryo1_Pos0_cell24_z2,ST_911,ST_911,Erythroid,1641.132876198813,1426.496457539662
embryo1_Pos0_cell242_z2,ST_269,ST_269,Erythroid,1633.073413620201,1355.818207921915
embryo1_Pos0_cell243_z2,ST_1257,ST_1257,Erythroid,1584.71663814853,1466.2529729496446
embryo1_Pos0_cell25_z2,ST_189,ST_189,Erythroid,1633.073413620201,1346.9834267196966
embryo1_Pos0_cell26_z2,ST_188,ST_188,Erythroid,1629.043682330895,1346.9834267196966
embryo1_Pos0_cell29_z2,ST_106,ST_106,Erythroid,1620.9842197522833,1338.1486455174784
embryo1_Pos0_cell31_z2,ST_975,ST_975,Erythroid,1576.6571755699183,1435.3312387418805
embryo1_Pos0_cell4_z2,ST_1139,ST_1139,Erythroid,1592.776100727142,1453.0008011463171
embryo1_Pos0_cell43_z2,ST_188,ST_188,Erythroid,1629.043682330895,1346.9834267196966
embryo1_Pos0_cell44_z2,ST_1703,ST_1703,Erythroid,1608.8950258843656,1514.8442695618455
embryo1_Pos0_cell45_z2,ST_106,ST_106,Erythroid,1620.9842197522833,1338.1486455174784
embryo1_Pos0_cell46_z2,ST_106,ST_106,Erythroid,1620.9842197522833,1338.1486455174784
