,CellType,x_global,y_global
embryo1_Pos0_cell100_z2,Erythroid,1625.05512829614,1346.2680074096
embryo1_Pos0_cell101_z2,Erythroid,1624.99788852585,1344.50841714734
embryo1_Pos0_cell102_z2,Gut tube,1625.71628800358,1335.71495846668
embryo1_Pos0_cell105_z2,Erythroid,1625.28252264794,1349.82345516124
embryo1_Pos0_cell106_z2,Haematoendothelial progenitors,1625.24231710552,1352.7175252781
embryo1_Pos0_cell107_z2,Erythroid,1625.65673332767,1350.86700846354
embryo1_Pos0_cell108_z2,Allantois,1625.29862554023,1354.74675344914
embryo1_Pos0_cell109_z2,Lateral plate mesoderm,1625.60086555431,1358.30821673495
embryo1_Pos0_cell11_z2,Lateral plate mesoderm,1617.26016235352,1351.46667480469
embryo1_Pos0_cell110_z2,Gut tube,1625.60013052133,1339.00493445763
embryo1_Pos0_cell111_z2,Lateral plate mesoderm,1625.80468818772,1359.66193950814
embryo1_Pos0_cell112_z2,Gut tube,1626.16057122181,1337.48546522577
embryo1_Pos0_cell113_z2,Erythroid,1626.16570873337,1345.42865897182
embryo1_Pos0_cell114_z2,Erythroid,1626.12802834024,1347.08525888871
embryo1_Pos0_cell115_z2,Allantois,1625.96607006555,1357.14922230454
embryo1_Pos0_cell116_z2,Gut tube,1626.54872139015,1339.31879244857
embryo1_Pos0_cell117_z2,Gut tube,1626.49170983356,1340.22650942595
embryo1_Pos0_cell118_z2,Haematoendothelial progenitors,1626.47799352823,1354.06434424646
embryo1_Pos0_cell119_z2,Erythroid,1626.40933195891,1352.02484411169
embryo1_Pos0_cell12_z2,Lateral plate mesoderm,1617.20908810857,1353.45460346533
embryo1_Pos0_cell120_z2,Allantois,1626.23917429071,1355.47173108553
embryo1_Pos0_cell121_z2,Erythroid,1626.45197379009,1349.03849283854
embryo1_Pos0_cell122_z2,Allantois,1626.94069142972,1356.92117321794
embryo1_Pos0_cell123_z2,Gut tube,1626.71292682251,1336.43812151888
embryo1_Pos0_cell124_z2,Lateral plate mesoderm,1626.87059810488,1358.81510397785
embryo1_Pos0_cell125_z2,Gut tube,1626.84300836527,1341.04478214672
embryo1_Pos0_cell126_z2,Endothelium,1627.0003431627,1353.07177563647
embryo1_Pos0_cell127_z2,Gut tube,1627.02807617188,1338.31232561384
embryo1_Pos0_cell128_z2,Endothelium,1627.16449824466,1341.8766916782
embryo1_Pos0_cell129_z2,Erythroid,1627.09429222993,1347.98447832543
embryo1_Pos0_cell13_z2,Haematoendothelial progenitors,1617.44458126616,1355.51745041153
embryo1_Pos0_cell130_z2,Erythroid,1627.25509535246,1346.7435682452
embryo1_Pos0_cell131_z2,Erythroid,1627.37615282546,1349.80189028342
embryo1_Pos0_cell132_z2,Haematoendothelial progenitors,1628.28372585142,1355.68209210873
embryo1_Pos0_cell133_z2,Erythroid,1627.69515402275,1351.11641909951
embryo1_Pos0_cell135_z2,Gut tube,1627.59399784909,1336.13700121143
embryo1_Pos0_cell136_z2,Allantois,1628.24496548847,1359.37101790049
embryo1_Pos0_cell137_z2,Gut tube,1628.02113807091,1334.91601186899
embryo1_Pos0_cell139_z2,Erythroid,1628.06871895865,1352.4532588284
embryo1_Pos0_cell14_z2,Haematoendothelial progenitors,1617.37801453808,1357.70659346265
embryo1_Pos0_cell140_z2,Erythroid,1627.91907472037,1348.61946214353
embryo1_Pos0_cell141_z2,Gut tube,1627.90790876116,1340.5573172433
embryo1_Pos0_cell142_z2,Gut tube,1627.76357181737,1339.20673908171
embryo1_Pos0_cell143_z2,Endothelium,1628.33279304218,1353.941272248
embryo1_Pos0_cell144_z2,Mixed mesenchymal mesoderm,1627.86720081676,1357.78659889915
embryo1_Pos0_cell145_z2,Gut tube,1628.34469260068,1336.97583904917
embryo1_Pos0_cell146_z2,Endothelium,1628.00953020368,1342.3362601144
embryo1_Pos0_cell148_z2,Gut tube,1628.16562352036,1338.25171321192
embryo1_Pos0_cell149_z2,Erythroid,1628.16766289353,1347.45669635078
embryo1_Pos0_cell15_z2,Intermediate mesoderm,1617.51981096078,1359.50053840284
embryo1_Pos0_cell150_z2,Gut tube,1628.33504589486,1344.53163186098
embryo1_Pos0_cell151_z2,Erythroid,1628.66875201244,1350.16252828006
embryo1_Pos0_cell152_z2,Allantois,1628.94843338197,1357.11098397496
embryo1_Pos0_cell153_z2,Gut tube,1629.04050069713,1341.58149327641
embryo1_Pos0_cell154_z2,Gut tube,1629.07951871617,1334.13796252153
embryo1_Pos0_cell155_z2,Gut tube,1628.83766846488,1339.50427442348
embryo1_Pos0_cell156_z2,Allantois,1628.99257089773,1358.12187200333
embryo1_Pos0_cell157_z2,Gut tube,1628.71746100579,1338.77742057747
embryo1_Pos0_cell159_z2,Gut tube,1628.99937350157,1335.88620592551
embryo1_Pos0_cell16_z2,Lateral plate mesoderm,1617.97484269699,1353.89801304872
embryo1_Pos0_cell160_z2,Erythroid,1628.93266260901,1348.98011673328
embryo1_Pos0_cell161_z2,Gut tube,1629.31398625959,1337.67775103177
embryo1_Pos0_cell162_z2,Gut tube,1629.41270513507,1344.66423119192
embryo1_Pos0_cell163_z2,Erythroid,1629.36025806184,1347.87822577294
embryo1_Pos0_cell164_z2,Gut tube,1629.5359049819,1340.13473147589
embryo1_Pos0_cell166_z2,Erythroid,1629.39537518247,1352.77693065393
embryo1_Pos0_cell167_z2,Erythroid,1629.74853850064,1351.16682608269
embryo1_Pos0_cell168_z2,Endothelium,1629.85948805251,1345.15356533291
embryo1_Pos0_cell17_z2,Erythroid,1618.25320125966,1335.25659545441
embryo1_Pos0_cell170_z2,Gut tube,1630.19774590935,1335.68924849846
embryo1_Pos0_cell171_z2,Gut tube,1629.94409742548,1338.90628447519
embryo1_Pos0_cell172_z2,Gut tube,1629.84650818376,1336.55316010783
embryo1_Pos0_cell174_z2,Mixed mesenchymal mesoderm,1629.87754209702,1359.09697072519
embryo1_Pos0_cell175_z2,Erythroid,1630.14018554688,1348.75295728601
embryo1_Pos0_cell176_z2,Erythroid,1630.45440023843,1349.66136553876
embryo1_Pos0_cell177_z2,Gut tube,1630.20259540264,1341.79623272236
embryo1_Pos0_cell178_z2,Erythroid,1630.28827311198,1346.69696858724
embryo1_Pos0_cell179_z2,Allantois,1630.37157871712,1356.70187336503
embryo1_Pos0_cell18_z2,Haematoendothelial progenitors,1618.38935656266,1344.43006589311
